Subject,Topic,Difficulty,Marks,Question,Correct_Answer,Option1,Option2,Option3
Entertainment: Music,Entertainment: Music,Easy,1,Which of the following songs did Elton John perform following Princess Diane's passing?,Candles in the Wind,I Guess That's Why They Call It The Blues,Your Song,Island Girl
Science &amp; Nature,Science &amp; Nature,Hard,1,"What is the scientific name for the extinct hominin known as ""Lucy""?",Australopithecus Afarensis,Australopithecus Africanus,Australopithecus Architeuthis,Australopithecus Antaris
History,History,Medium,1,Which country was an allied power in World War II?,Soviet Union,Italy,Germany,Japan
History,History,Medium,1,What was the name of the chemical that was dropped on Vietnam during the Vietnam war?,Agent Orange,Phosgene,Mustard Gas,Hydrogen Cyanide
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"What is the name of the virus in ""Metal Gear Solid 1""?",FOXDIE,FOXENGINE,FOXALIVE,FOXKILL
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Grand Theft Auto: V, what wanted level does the player receive if they enter Zancudo Army Base north of Los Santos?",4,3,5,1
Entertainment: Video Games,Entertainment: Video Games,Hard,1,Which of the four empires in  Eve Online was the first to achieve faster than light travel?,Amarr Empire,Caldari State,Gallente Federation,Minmatar Republic
General Knowledge,General Knowledge,Easy,1,Which American-owned brewery led the country in sales by volume in 2015?,"D. G. Yuengling and Son, Inc",Anheuser Busch,Boston Beer Company,Miller Coors
General Knowledge,General Knowledge,Easy,1,"In ""Shrek"", what comedic actor voices Donkey?",Eddie Murphy,Chris Rock,Richard Pryor,Bernie Mac
Sports,Sports,Easy,1,Which African American is in part responsible for integrating  Major League baseball?,Jackie Robinson,Curt Flood,Roy Campanella,Satchell Paige
Entertainment: Film,Entertainment: Film,Easy,1,"In the 1986 film ""The Wraith"", what concept car is used for the Turbo Interceptor?",Dodge M4S,Pontiac Banshee,General Motors Firebird,Dodge Copperhead
Entertainment: Musicals &amp; Theatres,Entertainment: Musicals &amp; Theatres,Medium,1,Which musical has won the most Tony awards?,The Producers,Hamilton,Chicago,Phantom of the Opera
General Knowledge,General Knowledge,Easy,1,Which of the following blood component forms a plug at the site of injuries?,Platelets,Red blood cells,White blood cells,Blood plasma
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Who is the creator of Touhou project?,Zun,Jun,Twilight Frontier,Tasofro
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Which of the following Elite Four members from the 6th Generation of Pokémon was a member of Team Flare?,Malva,Siebold,Wikstrom,Drasna
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,"In ""Fairy Tail"", what is the nickname of Natsu Dragneel?",The Salamander,The Dragon Slayer,The Dragon,The Demon
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?",1,3,2,5
History,History,Easy,1,What was the first sport to have been played on the moon?,Golf,Football,Tennis,Soccer
Mythology,Mythology,Hard,1,Which of the following is NOT a god in Norse Mythology.,Jens,Loki,Tyr,Snotra
Mythology,Mythology,Medium,1,What animal did Queen Pasipahe sleep with before she gave birth to the Minotaur in Greek Mythology?,Bull,Pig,Ox,Horse
Entertainment: Television,Entertainment: Television,Easy,1,"The HBO series ""Game of Thrones"" is based on which series of books?",A Song of Ice and Fire,The Wheel of Time,Harry Potter,The Notebook
History,History,Hard,1,"During the Spanish Civil War (1936), Francisco Franco fought for which political faction?",Nationalist Spain,Republican Spain,Popular Front,Papal State
Entertainment: Film,Entertainment: Film,Hard,1,"In the film ""Interstellar"", how long did they spend on Miller's planet?","23 years, 4 months, and 8 days","15 years, 2 months, and 15 days",10 months and 6 days,"26 years, 4 months, and 10 days"
History,History,Easy,1,"The RMS Titanic sunk during her maiden voyage from Southampton, England to which American city?",New York City,Boston ,Philadelphia,Washington
Geography,Geography,Hard,1,In which city is the Big Nickel located in Canada?,"Sudbury, Ontario","Calgary, Alberta","Halifax, Nova Scotia ","Victoria, British Columbia"
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In the Zombies mode of ""Call of Duty: Black Ops"", what is the ""Pack-A-Punched"" version of the ""Galil"" called?",Lamentation,Galvanized Atomic Lead Insertion Liquidator,Gabig,Predictive Death Wish
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"By how many minutes are you late to work in ""Half-Life""?",30,5,60,15
Entertainment: Music,Entertainment: Music,Medium,1,Which rapper had an album that went double platinum with no features?,J. Cole,Kendrick Lamar,Drake,Big Sean
History,History,Easy,1,In which war did the atomic bombings of Hiroshima and Nagasaki occur?,World War II,World War I,Russo-Japanese War,First Sino-Japanese War
General Knowledge,General Knowledge,Medium,1,When was the Declaration of Independence approved by the Second Continental Congress?,"July 4, 1776","May 4, 1776","June 4, 1776","July 2, 1776"
Science &amp; Nature,Science &amp; Nature,Medium,1,"Which desert is the only desert in the world where the ""Saguaro"" cactus grows indigenously?",The Sonoran Desert,The Gobi Desert,The Yuma Desert,The Arabian Desert
Geography,Geography,Medium,1,Which city is the capital of Switzerland?,Bern,Zürich,Frankfurt,Wien
Celebrities,Celebrities,Medium,1,What is generally considered to be William Shakespeare's birth date?,"April 23rd, 1564","July 4th, 1409","September 29th, 1699","December 1st, 1750"
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Left 4 Dead, which campaign has the protagonists going through a subway in order to reach a hospital for evacuation?",No Mercy,Subway Sprint,Hospital Havoc,Blood Harvest
Entertainment: Video Games,Entertainment: Video Games,Medium,1,Who is Sora's Nobody in Kingdom Hearts?,Roxas,Riku,Kairi,Mickey
Entertainment: Music,Entertainment: Music,Medium,1,What is the name of the 2016 studio album by the French electronic music duo Justice?,Woman,Randy,Safe and Sound,Pleasure
General Knowledge,General Knowledge,Medium,1,What is a Burgee?,A flag,A rope,A window,A type of food
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Who stars in Brutal Legend?,Jack Black,Kanye West,Lemmy,Ozzy Osbourne
Mythology,Mythology,Medium,1,What is the name of the Greek god of blacksmiths?,Hephaestus,Dyntos,Vulcan,Artagatus
Entertainment: Comics,Entertainment: Comics,Medium,1,"In Black Hammer, what dimension does Colonel Weird travel through?",Para-Zone,Hyperspace,Mirror Universe,Phantom Zone
Sports,Sports,Easy,1,"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-7,1-5,1-6,2-6
Science &amp; Nature,Science &amp; Nature,Medium,1,The human right lung has how many lobes?,3,4,2,1
History,History,Hard,1,When did Spanish Peninsular War start?,1808,1806,1810,1809
Geography,Geography,Medium,1,What is the capital city of Slovenia?,Ljubljana,Maribor,Velenje,Trbovlje
History,History,Medium,1,Which Nation did NOT have a Colony in modern-day North America?,Portugal,Spain,Sweden,Netherlands
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What numbers did Sayaka Maizono write on the wall in Dangan Ronpa Trigger Happy Havoc?,11037,"4, 8, 15, 16, 23, 42",55730,"3, 9, 11, 12, 15, 17,"
Science &amp; Nature,Science &amp; Nature,Hard,1,Which of these is a stop codon in DNA?,TAA,ACT,ACA,GTA
Art,Art,Easy,1,Who painted the biblical fresco The Creation of Adam?,Michelangelo,Leonardo da Vinci,Caravaggio,Rembrandt
Entertainment: Television,Entertainment: Television,Hard,1,"Which country does the YouTuber ""SinowBeats"" originate from?",Scotland,England,Sweden,Germany
Mythology,Mythology,Easy,1,The Nike apparel and footwear brand takes it's name from the Greek goddess of what?,Victory,Courage,Strength,Honor
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"Which Sonic the Hedgehog game was originally supposed to be packaged with Sonic 3, but was cut in half due to time constraints?",Sonic & Knuckles,Sonic 2,Sonic CD,Sonic 3D Blast
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Who is the leader of the Brotherhood of Nod in the Command and Conquer series?,Kane,Joseph Stalin,CABAL,Yuri
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Which water-type Pokémon starter was introduced in the 4th generation of the series?,Piplup,Totodile,Oshawott,Mudkip
Entertainment: Film,Entertainment: Film,Hard,1,"Which one of these films did David Lynch direct, but not write?",The Straight Story,Inland Empire,Lost Highway,Twin Peaks Fire Walk With Me
General Knowledge,General Knowledge,Hard,1,"The word ""aprosexia"" means which of the following?",The inability to concentrate on anything,The inability to make decisions,A feverish desire to rip one's clothes off,The inability to stand up
General Knowledge,General Knowledge,Easy,1,"What country has had prime ministers named Eden, Major, Peel, Law, Brown and Heath?",United Kingdom,Australia,New Zealand,Canada
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,What is the last name of Edward and Alphonse in the Fullmetal Alchemist series.,Elric,Ellis,Eliek,Elwood
Science &amp; Nature,Science &amp; Nature,Medium,1,What is the standard SI unit for electric current?,Ampere,Volt,Ohm,Watt
Entertainment: Music,Entertainment: Music,Medium,1,"Which of these bands was a featuring artist in Compton rapper Kendrick Lamar's 2017 album, ""DAMN.""?",U2,Radiohead,Coldplay,Bon Jovi
History,History,Easy,1,When did the Byzantine Empire collapse?,1453,1299,1353,1498
Entertainment: Music,Entertainment: Music,Medium,1,"What date is referenced in the 1971 song ""September"" by Earth, Wind & Fire?",21st of September,26th of September,23rd of September,24th of September
Entertainment: Music,Entertainment: Music,Hard,1,"Which year was the album ""Floral Shoppe"" by Macintosh Plus released?",2011,2014,2013,2012
Geography,Geography,Medium,1,How many countries are inside the United Kingdom?,Four,Two,Three,One
Entertainment: Video Games,Entertainment: Video Games,Medium,1,In what year were achivements added to Steam?,2007,2008,2009,2006
Entertainment: Film,Entertainment: Film,Hard,1,What did the first moving picture depict?,A galloping horse,A woman in a dress,A man walking,A crackling fire
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"Of the following space shooter games, which came out first?",Space Invaders,Galaxian,Galaga,Sinistar
Science &amp; Nature,Science &amp; Nature,Medium,1,Myopia is the scientific term for which condition?,Shortsightedness,Farsightedness,Double Vision,Clouded Vision
Entertainment: Music,Entertainment: Music,Easy,1,"Which artist released the 2012 single ""Harlem Shake"", which was used in numerous YouTube videos in 2013?",Baauer,RL Grime,NGHTMRE,Flosstradamus
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What is the browser game Kantai Collection heavily inspired by?,Second World War,Manga,World of Warcraft,An Anime
Sports,Sports,Medium,1,Which of these countries' national teams qualified for the 2018 FIFA World Cup in Russia?,Tunisia,United States of America,Italy,Netherlands
Geography,Geography,Medium,1,Which of the following language families is the most controversial amongst modern linguists?,Altaic,Sino-Tibetan,Dravidian,Indo-European
Science &amp; Nature,Science &amp; Nature,Hard,1,Coulrophobia is the irrational fear of what?,Clowns,Cemeteries,Needles,Tunnels
Entertainment: Film,Entertainment: Film,Easy,1,"In the movie ""V for Vendetta,"" what is the date that masked vigilante ""V"" urges people to remember?",November 5th,November 6th,November 4th,September 5th
Science: Computers,Science: Computers,Medium,1,The teapot often seen in many 3D modeling applications is called what?,Utah Teapot,Pixar Teapot,3D Teapot,Tennessee Teapot
Geography,Geography,Medium,1,What is the capital of the US state Nevada?,Carson City,Las Vegas,Henderson,Reno
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"In Pokemon Diamond, Pearl and Platinum, where can a Munchlax be found?",Honey Trees,Trading with an NPC,Grass on Route 209,Wayward Cave
History,History,Hard,1,What year was Canada founded in?,1867,1798,1859,1668
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What song is played during the ending credits of Guitar Hero: World Tour?,Dream Theater - Pull Me Under,King Crimson - 21st Century Schizoid Man,Dragonforce - Through The Fire & The Flames,Lynyrd Skynyrd - Free Bird
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"In the Halo series, which era of SPARTAN is Master Chief? ",SPARTAN-II,SPARTAN-I,SPARTAN-III,SPARTAN-IV
Entertainment: Video Games,Entertainment: Video Games,Easy,1,What does Solid Snake use to hide himself with?,Cardboard Box,Cloaking Device,Metal Crate,Cardboard cut-out
Entertainment: Video Games,Entertainment: Video Games,Easy,1,"In the original Mega Man series, who is Mega Man's arch nemesis?",Dr. Wily,Dr. Light,Dr. Bad,Mr. Z
Sports,Sports,Medium,1,Which portuguese island is soccer player Cristiano Ronaldo from?,Madeira,Terceira,Santa Maria,Porto Santo
Entertainment: Cartoon &amp; Animations,Entertainment: Cartoon &amp; Animations,Medium,1,Which Sanrio character was introduced in 1996?,Pompompurin,My Melody,Badtz-Maru,Kerropi
General Knowledge,General Knowledge,Medium,1,"""Gum arabic"" is a natural gum consisting of the hardened sap of which tree species?",Acacia,Palm,Ficus,Eucalyptus
Geography,Geography,Easy,1,What is the name of the peninsula containing Spain and Portugal?,Iberian Peninsula,European Peninsula,Peloponnesian Peninsula,Scandinavian Peninsula
Science: Computers,Science: Computers,Easy,1,"In web design, what does CSS stand for?",Cascading Style Sheet,Counter Strike: Source,Corrective Style Sheet,Computer Style Sheet
Entertainment: Music,Entertainment: Music,Medium,1,Which Beatle led the way across the zebra crossing on the Abbey Road album cover?,John,Paul,George,Ringo
Entertainment: Film,Entertainment: Film,Easy,1,What was Bruce Campbell's iconic one-liner after getting a chainsaw hand in Evil Dead 2?,Groovy.,Gnarly.,Perfect.,Nice.
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,"In the 9th Pokemon movie, who is the Prince of the Sea?",Manaphy,Ash,May,Phantom
Entertainment: Cartoon &amp; Animations,Entertainment: Cartoon &amp; Animations,Hard,1,Which of these cartoon girlfriends of popular characters first appeared before their boyfriends?,Olive Oyl,Minnie Mouse,Lola Bunny,Daisy Duck
Science &amp; Nature,Science &amp; Nature,Easy,1,What is the unit of electrical resistance?,Ohm,Mho,Tesla,Joule
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"Which one of these ""Mortal Kombat"" characters has been playable in every single mainline game?",Sub-Zero,Raiden,Scorpion,Liu Kang
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Rincewind from the 1995 Discworld game was voiced by which member of Monty Python?,Eric Idle,John Cleese,Terry Gilliam,Michael Palin
Entertainment: Film,Entertainment: Film,Medium,1,"What year did the James Cameron film ""Titanic"" come out in theaters?",1997,1996,1998,1999
Sports,Sports,Medium,1,What is Tiger Woods' all-time best career golf-score?,61,65,63,67
Geography,Geography,Medium,1,What was the African nation of Zimbabwe formerly known as?,Rhodesia,Zambia,Mozambique, Bulawayo
Entertainment: Television,Entertainment: Television,Hard,1,What was the callsign of Commander William Adama in Battlestar Galactica (2004)?,Husker,Starbuck,Apollo,Crashdown
Entertainment: Film,Entertainment: Film,Medium,1,"In The Lord of the Rings: The Fellowship of the Ring, which one of the following characters from the book was left out of the film?",Tom Bombadil,Strider,Barliman Butterbur,Celeborn
Mythology,Mythology,Easy,1,The greek god Poseidon was the god of what?,The Sea,War,Sun,Fire
History,History,Medium,1,Which Las Vegas casino was originally constructed and operated by mobster Bugsy Siegel?,The Flamingo,The MGM Grand,The Sands,The Sahara
Politics,Politics,Medium,1,"What was the personal nickname of the 40th Governor of the US State Louisiana, Huey Long?",The Kingfish,The Champ,The Hoot Owl,The Oracle
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"When was ""Garry's Mod"" released?","December 24, 2004","November 13, 2004","December 13, 2004","November 12, 2004"
Science: Mathematics,Science: Mathematics,Medium,1,What is the derivative of sin(x),cos(x),csc(x),-cos(x),-sin(x)
Science &amp; Nature,Science &amp; Nature,Hard,1,"What does the term ""isolation"" refer to in microbiology?","The separation of a strain from a natural, mixed population of living microbes",A lack of nutrition in microenviroments,The nitrogen level in soil,"Testing effects of certain microorganisms in an isolated enviroments, such as caves"
Sports,Sports,Easy,1,Which NFL team plays for New England?,Patriots,Chiefs,Dolphins,49ers
Entertainment: Film,Entertainment: Film,Hard,1,Which was the first of Alfred Hitchcock's movies to be filmed in colour?,Rope,Psycho,Vertigo,Rebecca
General Knowledge,General Knowledge,Medium,1,When was Nintendo founded?,"September 23rd, 1889","October 19th, 1891","March 4th, 1887","December 27th, 1894"
Entertainment: Video Games,Entertainment: Video Games,Medium,1,What was the character Kirby originally going to be named?,Popopo,Dedede,Waddle Dee,Prince Puff
Entertainment: Music,Entertainment: Music,Medium,1,"Which of these Queen songs were sampled for the baseline in Vanilla ""Ice's Ice Ice Baby?""",Under Pressure,Don't Stop Me Now,Brighton Rock,Lazing On A Sunday Afternoon
Entertainment: Video Games,Entertainment: Video Games,Easy,1,Which Game Boy from the Game Boy series of portable video game consoles was released first?,Game Boy Color,Game Boy Advance,Game Boy Micro,Game Boy Advance SP
Entertainment: Comics,Entertainment: Comics,Medium,1,"The success of DC Comics' Swamp Thing, Sandman, and other books in a similar style, led to the creation of what new imprint in 1993?",Vertigo,Impact,New Universe,Red Circle
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,The main protagonist of the fifth part of JoJo's Bizarre Adventure is which of the following?,Giorno Giovanna,Guido Mista,Jonathan Joestar,Joey JoJo
Mythology,Mythology,Medium,1,"In Norse Mythology, Baldr was killed by Loki with a magical spear made from what plant?",Mistletoe,Wolf's Bane,Buckthorn,Hemlock
Entertainment: Music,Entertainment: Music,Medium,1,Who was walking like an Egyptian in 1981?,The Bangles,R.E.M.,The Ocean Blue,The Connells
Vehicles,Vehicles,Easy,1,The LS2 engine is how many cubic inches?,364,346,376,402
Entertainment: Television,Entertainment: Television,Medium,1,"From what show is the character ""James Doakes""? ",Dexter,Marvel's Daredevil,Boardwalk Empire,The Walking Dead
Science &amp; Nature,Science &amp; Nature,Medium,1,Which one of these scientists conducted the Gold Foil Experiment which concluded that atoms are mostly made of empty space?,Ernest Rutherford,Joseph John Thomson,Archimedes,Niels Henrik David Bohr
Entertainment: Television,Entertainment: Television,Medium,1,"In ""Star Trek"", what is the Klingon death ritual?",Look into sky and yell loudly in mourning.,Kiss the jagged forehead before burial.,Shoot into space in a torpedo casing.,Split the deceased's earnings between bloodkin.
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"Which of these characters was considered, but ultimately not included, for Super Smash Bros. Melee?",James Bond,Diddy Kong,Mega Man,Wave Racer
Entertainment: Books,Entertainment: Books,Medium,1,Which of the following is not a work authored by Fyodor Dostoevsky?,Anna Karenina,Notes from the Underground,Crime and Punishment,The Brothers Karamazov
Entertainment: Video Games,Entertainment: Video Games,Hard,1,"In the 2014 Pokemon VGC Finals, which Pokemon was famous for bringing the winner to victory?",Pachirisu,Garchomp,Lapras,Primal Groudon
General Knowledge,General Knowledge,Medium,1,Amsterdam Centraal station is twinned with what station?,London Liverpool Street,Frankfurt (Main) Hauptbahnhof,Paris Gare du Nord,Brussels Midi
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Easy,1,"In ""Inuyasha"", what are the heros are looking to collect?",Jewel Shards,Dragon Balls,Rave Stones,Sacred Stones
Science: Mathematics,Science: Mathematics,Medium,1,"To the nearest whole number, how many radians are in a whole circle?",6,3,4,5
Entertainment: Japanese Anime &amp; Manga,Entertainment: Japanese Anime &amp; Manga,Medium,1,"Aoi Miyamori is the production manager of what anime in ""Shirobako""?",The Third Aerial Girls Squad,Exodus!,Andes Chucky,Angel Beats!
Entertainment: Video Games,Entertainment: Video Games,Medium,1,"The mobile game ""Jetpack Joyride"" was released in what year? ",2011,2012,2009,2014
